case_id,case_name,difficulty,method,solution_hash,feasible,status,objective_value,objective_decision,processed_count,ordinary_count,precision_count,unprocessed_count,mean_utilization,max_utilization,run_seconds,intrinsic_block_value,ordinary_processing_increment,precision_processing_increment,same_precision_reward,precision_mismatch_penalty,cross_crack_loss
C01,均衡基准：VDF修正VF,standard,VF,ea3c491a1f9cc6b0,True,Feasible,2978.6553675601435,284.79999999999995,19,14,5,11,0.8911208791208791,1.0,0.0016773000000000204,2705.855367560144,184.79999999999995,120.0,10.0,30.0,12.0
C01,均衡基准：VDF修正VF,standard,VDF,a6ba5e251d204dad,True,Feasible,2989.6553675601435,295.79999999999995,19,14,5,11,0.8911208791208791,1.0,0.001644899999999977,2705.855367560144,184.79999999999995,120.0,15.0,24.0,12.0
C01,均衡基准：VDF修正VF,standard,MG,c131b52135ffc0df,True,Feasible,3008.6553675601435,314.79999999999995,19,14,5,11,0.8911208791208791,1.0,0.022089499999999984,2705.855367560144,184.79999999999995,120.0,25.0,15.0,12.0
C01,均衡基准：VDF修正VF,standard,MG-LS,c131b52135ffc0df,True,Feasible,3008.6553675601435,314.79999999999995,19,14,5,11,0.8911208791208791,1.0,0.6275997,2705.855367560144,184.79999999999995,120.0,25.0,15.0,12.0
C02,小规模时间密度主导,easy,VF,9524784b7dea1297,True,Feasible,1178.8923295927848,147.59999999999997,12,5,7,0,0.600178495370224,1.0,0.00037799999999998946,1033.2923295927849,72.0,117.59999999999998,0.0,42.0,2.0
C02,小规模时间密度主导,easy,VDF,79f34d142778f2f1,True,Feasible,1204.0923295927848,172.80000000000004,12,12,0,0,0.37410184395842483,0.8923177134909833,0.00041800000000002946,1033.2923295927849,172.80000000000004,0.0,0.0,0.0,2.0
C02,小规模时间密度主导,easy,MG,79f34d142778f2f1,True,Feasible,1204.0923295927848,172.80000000000004,12,12,0,0,0.37410184395842483,0.8923177134909833,0.00584870000000004,1033.2923295927849,172.80000000000004,0.0,0.0,0.0,2.0
C02,小规模时间密度主导,easy,MG-LS,79f34d142778f2f1,True,Feasible,1204.0923295927848,172.80000000000004,12,12,0,0,0.37410184395842483,0.8923177134909833,0.02675329999999998,1033.2923295927849,172.80000000000004,0.0,0.0,0.0,2.0
C03,大规模相邻关系主导,standard_large,VF,b13e0efdc57132de,True,Feasible,5345.645820946014,692.9999999999998,37,28,9,11,0.8984813319726848,0.9890109890109888,0.005793300000000001,4691.645820946014,403.1999999999998,280.79999999999995,64.0,55.0,39.0
C03,大规模相邻关系主导,standard_large,VDF,289da2890ee42e11,True,Feasible,5307.645820946014,654.9999999999998,37,28,9,11,0.9019207963387802,0.9890109890109888,0.005978000000000039,4691.645820946014,403.1999999999998,280.79999999999995,56.0,85.0,39.0
