case_id,method,block_id,state,device_id
COMBO01,VF,B_1_1,precision,P1
COMBO01,VF,B_1_2,precision,P1
COMBO01,VF,B_1_3,precision,P1
COMBO01,VF,B_2_1,precision,P1
COMBO01,VF,B_2_2,precision,P2
COMBO01,VF,B_2_3,precision,P2
COMBO01,VF,B_3_1,precision,P2
COMBO01,VF,B_3_2,ordinary,O1
COMBO01,VF,B_3_3,ordinary,O1
COMBO01,VF,B_4_1,ordinary,O1
COMBO01,VF,B_4_2,ordinary,O1
COMBO01,VF,B_4_3,ordinary,O1
COMBO01,VDF,B_1_1,ordinary,O1
COMBO01,VDF,B_1_2,ordinary,O1
COMBO01,VDF,B_1_3,ordinary,O1
COMBO01,VDF,B_2_1,ordinary,O1
COMBO01,VDF,B_2_2,ordinary,O1
COMBO01,VDF,B_2_3,ordinary,O1
COMBO01,VDF,B_3_1,ordinary,O1
COMBO01,VDF,B_3_2,ordinary,O1
COMBO01,VDF,B_3_3,ordinary,O1
COMBO01,VDF,B_4_1,ordinary,O1
COMBO01,VDF,B_4_2,ordinary,O1
COMBO01,VDF,B_4_3,ordinary,O1
COMBO01,MG,B_1_1,ordinary,O1
COMBO01,MG,B_1_2,ordinary,O1
COMBO01,MG,B_1_3,ordinary,O1
COMBO01,MG,B_2_1,ordinary,O1
COMBO01,MG,B_2_2,ordinary,O1
COMBO01,MG,B_2_3,ordinary,O1
COMBO01,MG,B_3_1,ordinary,O1
COMBO01,MG,B_3_2,ordinary,O1
COMBO01,MG,B_3_3,ordinary,O1
COMBO01,MG,B_4_1,ordinary,O1
COMBO01,MG,B_4_2,ordinary,O1
COMBO01,MG,B_4_3,ordinary,O1
COMBO01,MG-LS,B_1_1,precision,P1
COMBO01,MG-LS,B_1_2,precision,P1
COMBO01,MG-LS,B_1_3,precision,P2
COMBO01,MG-LS,B_2_1,precision,P1
COMBO01,MG-LS,B_2_2,precision,P1
COMBO01,MG-LS,B_2_3,precision,P2
COMBO01,MG-LS,B_3_1,precision,P2
COMBO01,MG-LS,B_3_2,ordinary,O1
COMBO01,MG-LS,B_3_3,ordinary,O1
COMBO01,MG-LS,B_4_1,ordinary,O1
COMBO01,MG-LS,B_4_2,ordinary,O1
COMBO01,MG-LS,B_4_3,ordinary,O1
COMBO02,VF,B_1_1,precision,P1
COMBO02,VF,B_1_2,precision,P1
COMBO02,VF,B_1_3,ordinary,O1
COMBO02,VF,B_1_4,ordinary,O1
COMBO02,VF,B_2_1,precision,P1
COMBO02,VF,B_2_2,precision,P1
COMBO02,VF,B_2_3,ordinary,O1
COMBO02,VF,B_2_4,precision,P1
