case_id,method,objective_value,feasible,processed_count,ordinary_count,precision_count,unprocessed_count,ordinary_blocks,precision_blocks,device_block_groups,device_loads,mean_utilization,max_utilization
COMBO01,VF,1892.0,True,12,5,7,0,B_3_2 B_3_3 B_4_1 B_4_2 B_4_3,B_1_1 B_1_2 B_1_3 B_2_1 B_2_2 B_2_3 B_3_1,O1:B_3_2 B_3_3 B_4_1 B_4_2 B_4_3; P1:B_1_1 B_1_2 B_1_3 B_2_1; P2:B_2_2 B_2_3 B_3_1,O1:1.905/6.400; O2:0.000/6.400; O3:0.000/6.400; P1:6.000/6.400; P2:6.000/6.400,0.4345238095238095,0.9375
COMBO01,VDF,1176.0,True,12,12,0,0,B_1_1 B_1_2 B_1_3 B_2_1 B_2_2 B_2_3 B_3_1 B_3_2 B_3_3 B_4_1 B_4_2 B_4_3,,O1:B_1_1 B_1_2 B_1_3 B_2_1 B_2_2 B_2_3 B_3_1 B_3_2 B_3_3 B_4_1 B_4_2 B_4_3,O1:4.571/6.400; O2:0.000/6.400; O3:0.000/6.400; P1:0.000/6.400; P2:0.000/6.400,0.14285714285714285,0.7142857142857142
COMBO01,MG,1176.0,True,12,12,0,0,B_1_1 B_1_2 B_1_3 B_2_1 B_2_2 B_2_3 B_3_1 B_3_2 B_3_3 B_4_1 B_4_2 B_4_3,,O1:B_1_1 B_1_2 B_1_3 B_2_1 B_2_2 B_2_3 B_3_1 B_3_2 B_3_3 B_4_1 B_4_2 B_4_3,O1:4.571/6.400; O2:0.000/6.400; O3:0.000/6.400; P1:0.000/6.400; P2:0.000/6.400,0.14285714285714285,0.7142857142857142
COMBO01,MG-LS,1892.0,True,12,5,7,0,B_3_2 B_3_3 B_4_1 B_4_2 B_4_3,B_1_1 B_1_2 B_1_3 B_2_1 B_2_2 B_2_3 B_3_1,O1:B_3_2 B_3_3 B_4_1 B_4_2 B_4_3; P1:B_1_1 B_1_2 B_2_1 B_2_2; P2:B_1_3 B_2_3 B_3_1,O1:1.905/6.400; O2:0.000/6.400; O3:0.000/6.400; P1:6.000/6.400; P2:6.000/6.400,0.4345238095238095,0.9375
COMBO02,VF,2623.8701999307314,True,20,11,9,0,B_1_3 B_1_4 B_2_3 B_3_3 B_4_2 B_4_3 B_4_4 B_5_1 B_5_2 B_5_3 B_5_4,B_1_1 B_1_2 B_2_1 B_2_2 B_2_4 B_3_1 B_3_2 B_3_4 B_4_1,O1:B_1_3 B_1_4 B_2_3 B_3_3 B_4_2 B_4_3 B_4_4 B_5_1 B_5_2 B_5_3 B_5_4; P1:B_1_1 B_1_2 B_2_1 B_2_2 B_2_4; P2:B_3_1 B_3_2 B_3_4 B_4_1,O1:5.217/5.600; O2:0.000/5.600; O3:0.000/5.600; P1:5.000/5.600; P2:5.333/5.600,0.5553662984302905,0.9523809523809524
COMBO02,VDF,1901.8701999307314,True,20,20,0,0,B_1_1 B_1_2 B_1_3 B_1_4 B_2_1 B_2_2 B_2_3 B_2_4 B_3_1 B_3_2 B_3_3 B_3_4 B_4_1 B_4_2 B_4_3 B_4_4 B_5_1 B_5_2 B_5_3 B_5_4,,O1:B_1_1 B_1_2 B_2_1 B_2_2 B_2_4 B_3_1 B_3_2 B_3_4 B_4_1 B_4_2 B_4_4 B_5_1; O2:B_1_3 B_1_4 B_2_3 B_3_3 B_4_3 B_5_2 B_5_3 B_5_4,O1:5.333/5.600; O2:4.993/5.600; O3:0.000/5.600; P1:0.000/5.600; P2:0.000/5.600,0.3688042884579925,0.9523809523809527
COMBO02,MG,1901.8701999307314,True,20,20,0,0,B_1_1 B_1_2 B_1_3 B_1_4 B_2_1 B_2_2 B_2_3 B_2_4 B_3_1 B_3_2 B_3_3 B_3_4 B_4_1 B_4_2 B_4_3 B_4_4 B_5_1 B_5_2 B_5_3 B_5_4,,O1:B_1_1 B_1_2 B_2_1 B_2_2 B_2_4 B_3_1 B_3_2 B_3_4 B_4_1 B_4_2 B_4_4 B_5_1; O2:B_1_3 B_1_4 B_2_3 B_3_3 B_4_3 B_5_2 B_5_3 B_5_4,O1:5.333/5.600; O2:4.993/5.600; O3:0.000/5.600; P1:0.000/5.600; P2:0.000/5.600,0.3688042884579925,0.9523809523809527
COMBO02,MG-LS,2785.8701999307314,True,20,12,8,0,B_3_1 B_3_2 B_3_3 B_3_4 B_4_1 B_4_2 B_4_3 B_4_4 B_5_1 B_5_2 B_5_3 B_5_4,B_1_1 B_1_2 B_1_3 B_1_4 B_2_1 B_2_2 B_2_3 B_2_4,O1:B_3_1 B_3_2 B_3_4 B_4_1 B_4_2 B_4_4 B_5_1; O2:B_3_3 B_4_3 B_5_2 B_5_3 B_5_4; P1:B_1_1 B_1_2 B_1_3 B_2_1 B_2_2; P2:B_1_4 B_2_3 B_2_4,O1:3.111/5.600; O2:3.045/5.600; O3:0.000/5.600; P1:5.016/5.600; P2:4.524/5.600,0.5605854181662348,0.8956580822494882
COMBO03,VF,2813.6848736101842,True,26,19,7,4,B_1_2 B_1_4 B_1_5 B_3_3 B_3_4 B_4_1 B_4_3 B_4_4 B_4_5 B_5_1 B_5_2 B_5_3 B_5_4 B_5_5 B_6_1 B_6_2 B_6_3 B_6_4 B_6_5,B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1 B_3_5,O1:B_4_1 B_4_4 B_4_5 B_5_1 B_5_3 B_5_4 B_5_5 B_6_1 B_6_2; O2:B_1_4 B_1_5 B_3_3 B_6_3 B_6_4 B_6_5; O3:B_1_2 B_3_4 B_4_3 B_5_2; P1:B_1_1 B_1_3 B_2_1 B_2_3; P2:B_2_5 B_3_1 B_3_5,O1:4.800/4.800; O2:4.217/4.800; O3:4.707/4.800; P1:4.800/4.800; P2:4.800/4.800,0.9718262493819912,1.0000000000000002
COMBO03,VDF,2574.6848736101842,True,25,20,5,5,B_1_1 B_1_2 B_1_3 B_1_4 B_1_5 B_2_1 B_2_3 B_2_5 B_3_1 B_3_3 B_3_5 B_4_1 B_4_4 B_4_5 B_5_1 B_5_3 B_5_4 B_5_5 B_6_1 B_6_2,B_4_3 B_5_2 B_6_3 B_6_4 B_6_5,O1:B_1_1 B_1_3 B_2_1 B_2_3 B_2_5 B_3_1 B_3_5 B_4_1 B_4_4; O2:B_4_5 B_5_1 B_5_3 B_5_4 B_5_5 B_6_1 B_6_2; O3:B_1_2 B_1_4 B_1_5 B_3_3; P1:B_6_3 B_6_4 B_6_5; P2:B_4_3 B_5_2,O1:4.800/4.800; O2:4.800/4.800; O3:4.126/4.800; P1:3.600/4.800; P2:3.999/4.800,0.8885090194232644,1.0000000000000002
