case_id,case_name,factor,level,difficulty,method,solution_hash,feasible,status,objective_value,objective_decision,processed_count,ordinary_count,precision_count,unprocessed_count,mean_utilization,max_utilization,run_seconds,intrinsic_block_value,ordinary_processing_increment,precision_processing_increment,same_precision_reward,precision_mismatch_penalty,cross_crack_loss
SCALE01,木板规模梯度1,board_scale,1,board_scale,VF,386874901beb3e68,True,Feasible,1295.633062819361,821.0,12,7,5,0,0.6560186043065845,1.0,0.0003898999999999986,502.63306281936104,336.0,480.0,180.0,175.0,28.0
SCALE01,木板规模梯度1,board_scale,1,board_scale,VDF,afbc60ea1655051b,True,Feasible,971.6330628193609,497.0,12,10,2,0,0.539086779240473,0.9135462288646747,0.0004437000000000191,502.63306281936104,480.0,192.0,0.0,175.0,28.0
SCALE01,木板规模梯度1,board_scale,1,board_scale,MG,32c7eb06db58c6ec,True,Feasible,1050.633062819361,576.0,12,12,0,0,0.5041805338454649,0.9135462288646747,0.004491999999999996,502.63306281936104,576.0,0.0,0.0,0.0,28.0
SCALE01,木板规模梯度1,board_scale,1,board_scale,MG-LS,c48b9c3f4149e8ae,True,Feasible,1382.633062819361,908.0,12,8,4,0,0.6876981126137893,0.9599830304922443,0.9332758000000001,502.63306281936104,384.0,384.0,240.0,100.0,28.0
SCALE02,木板规模梯度2,board_scale,2,board_scale,VF,508ca950cae1179c,True,Feasible,1860.649888196076,1011.0,17,12,5,3,0.8594700846001633,1.0,0.0009012999999999938,877.6498881960763,576.0,480.0,180.0,225.0,28.0
SCALE02,木板规模梯度2,board_scale,2,board_scale,VDF,c5c8bb1a0fa202cd,True,Feasible,1669.6498881960763,820.0,17,14,3,3,0.8122798501225696,0.9554907933915364,0.0008254000000000872,877.6498881960763,672.0,288.0,60.0,200.0,28.0
SCALE02,木板规模梯度2,board_scale,2,board_scale,MG,405c6076fedaed37,True,Feasible,1754.6498881960763,905.0,17,14,3,3,0.8202532814591587,0.9554907933915364,0.013931700000000102,877.6498881960763,672.0,288.0,120.0,175.0,28.0
SCALE02,木板规模梯度2,board_scale,2,board_scale,MG-LS,da9bbb0d9f0de3b2,True,Feasible,2045.649888196076,1196.0,18,14,4,2,0.9116210654891962,0.9554907933915364,2.8480634,877.6498881960763,672.0,384.0,240.0,100.0,28.0
SCALE03,木板规模梯度3,board_scale,3,board_scale,VF,792681bc8c2f226a,True,Feasible,2317.642951667583,997.0,19,14,5,11,0.906031746031746,1.0,0.0010425999999998936,1352.642951667583,672.0,480.0,120.0,275.0,32.0
SCALE03,木板规模梯度3,board_scale,3,board_scale,VDF,5caa894afcb76c4c,True,Feasible,2622.642951667583,1302.0,19,14,5,11,0.906031746031746,1.0,0.0016492000000001283,1352.642951667583,672.0,480.0,300.0,150.0,32.0
SCALE03,木板规模梯度3,board_scale,3,board_scale,MG,d362686e60a64edb,True,Feasible,2587.642951667583,1267.0,19,14,5,11,0.906031746031746,1.0,0.025714999999999932,1352.642951667583,672.0,480.0,240.0,125.0,32.0
SCALE03,木板规模梯度3,board_scale,3,board_scale,MG-LS,d362686e60a64edb,True,Feasible,2587.642951667583,1267.0,19,14,5,11,0.906031746031746,1.0,0.6215126999999994,1352.642951667583,672.0,480.0,240.0,125.0,32.0
SCALE04,木板规模梯度4,board_scale,4,board_scale,VF,d76a8e46de67375a,True,Feasible,2533.2181608554865,997.0,19,14,5,16,0.906031746031746,1.0,0.0013238999999991563,1580.2181608554863,672.0,480.0,120.0,275.0,44.0
SCALE04,木板规模梯度4,board_scale,4,board_scale,VDF,502a42cb2b673bbd,True,Feasible,2643.2181608554865,1107.0,19,14,5,16,0.906031746031746,1.0,0.0019016000000000588,1580.2181608554863,672.0,480.0,180.0,225.0,44.0
SCALE04,木板规模梯度4,board_scale,4,board_scale,MG,134ed6b02e1abc59,True,Feasible,2803.2181608554865,1267.0,19,14,5,16,0.906031746031746,1.0,0.03184129999999996,1580.2181608554863,672.0,480.0,240.0,125.0,44.0
SCALE04,木板规模梯度4,board_scale,4,board_scale,MG-LS,134ed6b02e1abc59,True,Feasible,2803.2181608554865,1267.0,19,14,5,16,0.906031746031746,1.0,0.9288224000000005,1580.2181608554863,672.0,480.0,240.0,125.0,44.0
SCALE05,木板规模梯度5,board_scale,5,board_scale,VF,c1dc36671936ef6b,True,Feasible,3196.266125638722,1047.0,19,14,5,29,0.906031746031746,1.0,0.002409400000000339,2205.266125638722,672.0,480.0,120.0,225.0,56.0
